campaign_objective,platform,ad_placement,device_type,operating_system,creative_format,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit
Lead Generation,Instagram,Search,Mobile,iOS,Video,False,Urgency,70,35-44,All,Business Professionals,>$200K,Medium,True,2024-12-13,5,68,4,2.12,16363,406,17,860.72,6513.89,70.86,Medium,2.481,2.12,4.187,50.63,7.57,5653.17
Brand Awareness,Twitter,Search,Tablet,iOS,Video,False,Urgency,85,45-54,All,Business Professionals,<$50K,High,False,2024-02-06,2,37,4,2.46,18079,197,2,484.62,386.15,35.29,Medium,1.09,2.46,1.015,242.31,0.8,-98.47
Conversions,TikTok,In-Stream Video,Desktop,macOS,Carousel,True,Trust,35,35-44,Male,Shoppers,$50K-$100K,Medium,True,2024-03-04,18,22,6,1.14,24985,668,60,761.52,18944.7,30.71,High,2.674,1.14,8.982,12.69,24.88,18183.18
Conversions,Google Ads,Feed,Mobile,Android,Video,True,Trust,17,55-64,Female,Shoppers,$50K-$100K,Low,False,2025-01-23,11,29,7,5.18,21802,574,13,2973.32,2585.97,88.31,High,2.633,5.18,2.265,228.72,0.87,-387.35
Conversions,Google Ads,Search,Tablet,macOS,Video,True,Neutral,50,18-24,Female,Shoppers,$50K-$100K,Medium,False,2024-08-12,1,56,5,2.44,182611,2049,93,4999.56,20802.12,42.23,Low,1.122,2.44,4.539,53.76,4.16,15802.56
Conversions,Instagram,Feed,Mobile,Android,Carousel,False,Trust,70,45-54,All,Tech Enthusiasts,$50K-$100K,Medium,True,2024-02-21,15,47,4,2.57,5000,44,0,113.08,0.0,68.12,Low,0.88,2.57,0.0,0.0,0.0,-113.08
Conversions,Google Ads,Display Network,Desktop,Other,Image,False,Urgency,68,18-24,Female,Business Professionals,$100K-$200K,Low,False,2024-08-15,16,61,2,5.5,111074,664,9,3652.0,2249.71,61.01,Medium,0.598,5.5,1.355,405.78,0.62,-1402.29
Lead Generation,Facebook,Stories,Desktop,Android,Image,False,Trust,32,35-44,Male,Tech Enthusiasts,$100K-$200K,High,True,2024-06-23,16,37,7,1.16,16117,620,73,719.2,11358.83,15.01,Low,3.847,1.16,11.774,9.85,15.79,10639.63
Brand Awareness,Instagram,In-Stream Video,Mobile,Windows,Image,True,Joy,8,65+,All,Business Professionals,$100K-$200K,Low,True,2025-12-11,9,44,9,0.87,103483,4146,82,3607.02,16660.35,84.74,High,4.006,0.87,1.978,43.99,4.62,13053.33
Lead Generation,LinkedIn,Feed,Mobile,iOS,Image,True,Trust,55,25-34,All,Tech Enthusiasts,$100K-$200K,Medium,False,2024-07-26,6,41,6,7.23,5000,49,1,354.27,192.94,36.45,Low,0.98,7.23,2.041,354.27,0.54,-161.33
Brand Awareness,Twitter,Feed,Mobile,Other,Text,True,Joy,43,25-34,Female,Shoppers,<$50K,Medium,True,2024-10-27,17,40,8,0.88,59250,2782,149,2448.16,31795.04,52.77,Medium,4.695,0.88,5.356,16.43,12.99,29346.88
Conversions,LinkedIn,Search,Mobile,Windows,Carousel,True,Joy,88,35-44,Male,Gamers,$100K-$200K,Medium,False,2024-07-22,0,38,5,8.04,39894,521,9,4188.84,3728.05,49.86,Low,1.306,8.04,1.727,465.43,0.89,-460.79
Lead Generation,Google Ads,Feed,Mobile,Other,Video,True,Joy,13,25-34,Female,Gamers,$100K-$200K,High,True,2024-06-04,9,84,7,5.55,5000,231,22,1282.05,5684.92,23.3,Medium,4.62,5.55,9.524,58.28,4.43,4402.87
Lead Generation,TikTok,Stories,Desktop,Android,Image,True,Joy,69,45-54,All,Business Professionals,<$50K,Medium,True,2024-08-14,15,24,7,0.57,150171,2723,126,1552.11,28221.49,43.09,Low,1.813,0.57,4.627,12.32,18.18,26669.38
App Installs,TikTok,Feed,Desktop,macOS,Image,True,Urgency,76,18-24,All,Tech Enthusiasts,$100K-$200K,Low,False,2025-08-28,20,76,4,0.74,21924,300,3,222.0,1461.84,52.57,High,1.368,0.74,1.0,74.0,6.58,1239.84
Conversions,Google Ads,Feed,Mobile,iOS,Image,True,Fear,9,35-44,All,Shoppers,$100K-$200K,Medium,False,2025-11-04,19,29,7,4.45,50220,1956,219,8704.2,40408.32,51.26,Medium,3.895,4.45,11.196,39.75,4.64,31704.12
Lead Generation,Facebook,Feed,Mobile,Android,Carousel,True,Fear,72,25-34,All,Gamers,$100K-$200K,Medium,False,2024-04-19,2,40,5,2.59,5520,89,0,230.51,0.0,69.19,Low,1.612,2.59,0.0,0.0,0.0,-230.51
Lead Generation,LinkedIn,Feed,Desktop,Android,Carousel,True,Urgency,59,18-24,Male,Shoppers,$50K-$100K,Low,False,2025-04-30,23,52,5,7.07,15417,418,19,2955.26,2345.8,56.64,Low,2.711,7.07,4.545,155.54,0.79,-609.46
App Installs,Facebook,Search,Mobile,iOS,Story,True,Urgency,21,55-64,Female,Students,<$50K,High,False,2024-02-28,15,66,8,1.6,5274,110,1,176.0,232.61,39.24,Low,2.086,1.6,0.909,176.0,1.32,56.61
Conversions,Facebook,Feed,Desktop,Android,Video,False,Urgency,21,25-34,All,Students,<$50K,Low,True,2026-01-11,13,63,4,3.56,56862,1699,45,6048.44,12576.32,74.18,Medium,2.988,3.56,2.649,134.41,2.08,6527.88
Conversions,Facebook,Search,Mobile,Android,Carousel,True,Urgency,21,25-34,Female,Gamers,$50K-$100K,Low,False,2025-09-18,20,39,7,0.96,15874,452,5,433.92,863.37,86.42,Low,2.847,0.96,1.106,86.78,1.99,429.45
Conversions,Facebook,Feed,Mobile,Windows,Interactive,False,Urgency,79,18-24,All,Shoppers,$50K-$100K,Medium,False,2025-01-21,18,49,2,3.77,55322,416,4,1568.32,1321.11,64.84,Medium,0.752,3.77,0.962,392.08,0.84,-247.21
Lead Generation,Twitter,Search,Mobile,Windows,Image,True,Fear,90,45-54,Male,Students,$50K-$100K,Low,False,2024-06-26,17,86,5,2.49,5000,40,0,99.6,0.0,73.89,Low,0.8,2.49,0.0,0.0,0.0,-99.6
Lead Generation,Google Ads,Stories,Mobile,Android,Carousel,False,Joy,39,25-34,All,Students,$100K-$200K,Medium,False,2025-12-07,2,19,4,9.32,29795,536,23,4995.52,10659.42,77.64,Low,1.799,9.32,4.291,217.2,2.13,5663.9
Conversions,Facebook,Sidebar,Tablet,iOS,Image,True,Joy,39,25-34,Male,Shoppers,$100K-$200K,Medium,False,2025-06-05,18,35,7,0.98,6843,156,3,152.88,627.16,46.54,Medium,2.28,0.98,1.923,50.96,4.1,474.28
Conversions,Google Ads,Display Network,Desktop,iOS,Video,False,Joy,37,35-44,Male,Gamers,<$50K,Medium,False,2024-08-21,9,46,3,4.14,25031,359,13,1486.26,2818.77,51.28,Medium,1.434,4.14,3.621,114.33,1.9,1332.51
Brand Awareness,Google Ads,Stories,Tablet,Windows,Video,False,Joy,72,25-34,All,Gamers,$50K-$100K,Medium,False,2024-05-28,21,40,5,6.27,47709,926,14,5806.02,3773.14,53.07,Medium,1.941,6.27,1.512,414.72,0.65,-2032.88
Lead Generation,TikTok,Stories,Tablet,Android,Video,False,Neutral,80,18-24,All,Tech Enthusiasts,$100K-$200K,Medium,False,2025-11-17,10,50,4,1.89,30195,1413,49,2670.57,15102.15,38.46,High,4.68,1.89,3.468,54.5,5.66,12431.58
Conversions,LinkedIn,Sidebar,Desktop,Android,Text,True,Curiosity,48,35-44,Male,Tech Enthusiasts,$50K-$100K,Medium,False,2025-08-09,6,13,6,8.92,110002,1374,122,12256.08,39862.34,44.09,Medium,1.249,8.92,8.879,100.46,3.25,27606.26
Brand Awareness,Instagram,Feed,Desktop,Windows,Interactive,True,Trust,31,25-34,Female,Tech Enthusiasts,$100K-$200K,Medium,True,2024-02-06,16,40,9,2.88,45716,1736,40,4999.68,17361.26,38.86,Low,3.797,2.88,2.304,124.99,3.47,12361.58
Conversions,Facebook,In-Stream Video,Mobile,Android,Image,False,Neutral,54,18-24,All,Business Professionals,>$200K,Medium,True,2025-10-10,20,26,5,0.78,39182,944,40,736.32,18465.08,77.02,Medium,2.409,0.78,4.237,18.41,25.08,17728.76
Lead Generation,Google Ads,Feed,Desktop,Android,Carousel,False,Fear,2,25-34,All,Students,$50K-$100K,Medium,False,2025-09-27,19,9,5,2.41,5148,174,5,419.34,1477.68,61.12,Low,3.38,2.41,2.874,83.87,3.52,1058.34
Lead Generation,TikTok,Display Network,Mobile,Windows,Carousel,False,Joy,4,55-64,Female,Gamers,<$50K,Low,True,2025-04-09,12,73,3,2.97,12067,130,0,386.1,0.0,81.24,Low,1.077,2.97,0.0,0.0,0.0,-386.1
Conversions,Instagram,In-Stream Video,Mobile,Android,Interactive,True,Curiosity,88,35-44,All,Tech Enthusiasts,$50K-$100K,Medium,False,2024-03-03,20,70,6,1.84,90086,1824,40,3356.16,6699.8,47.73,Medium,2.025,1.84,2.193,83.9,2.0,3343.64
Lead Generation,Google Ads,Feed,Desktop,Windows,Image,True,Joy,39,18-24,Male,Shoppers,$50K-$100K,Medium,False,2025-10-24,10,63,3,2.31,5000,162,11,374.22,3471.31,57.48,Low,3.24,2.31,6.79,34.02,9.28,3097.09
Conversions,TikTok,Stories,Mobile,iOS,Video,False,Trust,71,18-24,All,Students,$100K-$200K,Medium,False,2024-03-27,21,34,4,0.83,51317,645,5,535.35,1266.04,82.75,High,1.257,0.83,0.775,107.07,2.36,730.69
Brand Awareness,Instagram,Stories,Mobile,Windows,Video,True,Urgency,46,18-24,Male,Tech Enthusiasts,$100K-$200K,Medium,False,2024-01-09,5,26,8,0.99,39690,1000,12,990.0,4662.74,41.19,Medium,2.52,0.99,1.2,82.5,4.71,3672.74
Lead Generation,Instagram,Sidebar,Desktop,Windows,Text,False,Joy,55,35-44,Female,Students,>$200K,Medium,False,2025-02-19,0,2,5,2.97,14344,113,1,335.61,573.25,49.56,Low,0.788,2.97,0.885,335.61,1.71,237.64
Brand Awareness,Instagram,Display Network,Mobile,macOS,Interactive,True,Trust,61,45-54,Female,Business Professionals,>$200K,High,False,2025-03-20,12,27,5,3.05,51750,703,5,2144.15,2641.53,44.25,High,1.358,3.05,0.711,428.83,1.23,497.38
Lead Generation,Twitter,Stories,Mobile,Android,Carousel,True,Curiosity,46,65+,Female,Shoppers,<$50K,Low,False,2024-01-19,11,68,6,1.46,8623,53,0,77.38,0.0,84.23,Low,0.615,1.46,0.0,0.0,0.0,-77.38
Lead Generation,Google Ads,Stories,Mobile,Android,Image,True,Fear,57,18-24,Female,Students,$50K-$100K,Medium,False,2025-05-26,7,20,8,2.83,16700,433,8,1225.39,1366.14,64.47,Medium,2.593,2.83,1.848,153.17,1.11,140.75
Brand Awareness,TikTok,Display Network,Desktop,iOS,Image,True,Curiosity,64,18-24,All,Health & Fitness,$50K-$100K,Low,False,2025-06-30,21,58,6,1.96,181260,3043,22,5964.28,2477.18,67.4,Medium,1.679,1.96,0.723,271.1,0.42,-3487.1
Lead Generation,Facebook,Stories,Desktop,iOS,Image,False,Joy,88,18-24,Male,Tech Enthusiasts,$50K-$100K,Medium,False,2024-05-31,21,4,3,3.06,24824,277,5,847.62,1347.35,46.5,Medium,1.116,3.06,1.805,169.52,1.59,499.73
Lead Generation,Google Ads,Sidebar,Mobile,Android,Text,False,Joy,80,45-54,Female,Tech Enthusiasts,>$200K,Medium,False,2025-12-06,22,85,4,2.17,33706,608,22,1319.36,13583.45,66.39,High,1.804,2.17,3.618,59.97,10.3,12264.09
Conversions,TikTok,In-Stream Video,Desktop,iOS,Video,True,Trust,8,45-54,All,Shoppers,$50K-$100K,Medium,False,2024-02-05,1,6,8,1.66,5012,231,5,383.46,1424.85,57.24,Low,4.609,1.66,2.165,76.69,3.72,1041.39
Brand Awareness,Google Ads,Search,Desktop,Windows,Image,True,Trust,32,35-44,Male,Business Professionals,$50K-$100K,Low,False,2025-09-10,22,29,8,2.0,67198,1388,26,2776.0,7786.65,74.82,Medium,2.066,2.0,1.873,106.77,2.8,5010.65
Conversions,Twitter,Feed,Mobile,iOS,Image,True,Fear,84,45-54,Male,Business Professionals,$50K-$100K,Medium,False,2025-06-24,14,58,5,1.09,65273,394,7,429.46,1666.69,58.37,High,0.604,1.09,1.777,61.35,3.88,1237.23
Engagement,Facebook,Feed,Desktop,Android,Carousel,True,Curiosity,45,45-54,Male,Gamers,$50K-$100K,Medium,True,2024-01-18,15,76,9,0.59,59728,1406,24,829.54,4274.72,42.85,Medium,2.354,0.59,1.707,34.56,5.15,3445.18
Conversions,Google Ads,Search,Desktop,Android,Carousel,False,Joy,31,25-34,Female,Shoppers,<$50K,Medium,False,2025-05-22,14,88,5,4.02,27856,795,54,3195.9,6755.07,39.27,Medium,2.854,4.02,6.792,59.18,2.11,3559.17
Conversions,LinkedIn,Search,Desktop,Windows,Video,True,Neutral,47,35-44,All,Health & Fitness,$50K-$100K,High,False,2025-08-24,2,83,7,10.51,23380,475,47,4992.25,7753.06,14.58,Low,2.032,10.51,9.895,106.22,1.55,2760.81
Lead Generation,LinkedIn,Search,Mobile,iOS,Image,True,Trust,86,25-34,Male,Gamers,$100K-$200K,Medium,False,2024-04-01,14,7,4,3.75,15056,111,1,416.25,234.82,69.23,Medium,0.737,3.75,0.901,416.25,0.56,-181.43
Brand Awareness,LinkedIn,Feed,Mobile,Android,Video,True,Joy,18,35-44,Female,Business Professionals,$50K-$100K,High,False,2025-11-13,23,32,6,5.05,141112,3960,138,19998.0,38149.84,49.95,Medium,2.806,5.05,3.485,144.91,1.91,18151.84
Lead Generation,TikTok,Display Network,Mobile,Android,Image,False,Joy,6,18-24,All,Students,$50K-$100K,High,False,2025-01-12,13,60,4,1.67,13307,245,10,409.15,3491.88,29.29,High,1.841,1.67,4.082,40.92,8.53,3082.73
App Installs,Google Ads,Stories,Mobile,Windows,Image,False,Urgency,31,35-44,Male,Health & Fitness,>$200K,Low,False,2025-04-08,9,85,6,2.03,74423,1464,5,2971.92,2443.26,75.57,Medium,1.967,2.03,0.342,594.38,0.82,-528.66
Lead Generation,TikTok,Feed,Desktop,Android,Video,True,Neutral,83,65+,Male,Business Professionals,<$50K,Low,True,2024-11-19,17,74,5,0.81,8968,388,37,314.28,4989.86,36.98,Low,4.326,0.81,9.536,8.49,15.88,4675.58
Lead Generation,Facebook,Search,Mobile,Windows,Video,True,Curiosity,4,18-24,Male,Students,$100K-$200K,Medium,False,2024-04-05,12,9,5,1.75,29337,757,12,1324.75,4471.26,67.13,Low,2.58,1.75,1.585,110.4,3.38,3146.51
Lead Generation,Google Ads,Search,Desktop,Android,Video,False,Trust,20,35-44,All,Business Professionals,$50K-$100K,Medium,False,2024-03-01,5,51,4,4.95,93001,2334,108,11553.3,12360.41,57.95,Medium,2.51,4.95,4.627,106.98,1.07,807.11
Conversions,Google Ads,Search,Desktop,iOS,Image,True,Joy,36,18-24,All,Tech Enthusiasts,$50K-$100K,Low,False,2024-02-05,11,36,5,1.71,27085,597,17,1020.87,5726.4,79.63,Medium,2.204,1.71,2.848,60.05,5.61,4705.53
Brand Awareness,Google Ads,Feed,Desktop,Windows,Carousel,True,Trust,2,35-44,Female,Shoppers,$100K-$200K,Medium,False,2024-03-11,13,12,5,3.94,92800,1269,38,4999.86,10103.06,45.54,Low,1.367,3.94,2.994,131.58,2.02,5103.2
Engagement,Twitter,In-Stream Video,Desktop,macOS,Video,True,Joy,13,25-34,Male,Tech Enthusiasts,$100K-$200K,Medium,False,2025-11-01,3,70,8,1.49,7382,590,31,879.1,13554.51,47.13,Low,7.992,1.49,5.254,28.36,15.42,12675.41
Brand Awareness,Facebook,Search,Mobile,iOS,Video,True,Joy,89,55-64,Female,Shoppers,$100K-$200K,Medium,False,2024-03-24,23,57,5,1.57,316485,3633,58,5703.81,21630.39,54.35,Medium,1.148,1.57,1.596,98.34,3.79,15926.58
Conversions,Facebook,Sidebar,Mobile,iOS,Text,True,Urgency,27,65+,Female,Gamers,$100K-$200K,Medium,False,2024-09-11,12,50,4,2.35,24850,148,2,347.8,428.9,44.05,High,0.596,2.35,1.351,173.9,1.23,81.1
Lead Generation,Instagram,Search,Mobile,Other,Video,True,Neutral,4,25-34,All,Business Professionals,$50K-$100K,Low,False,2024-05-29,2,1,7,2.26,102070,4122,23,9315.72,6787.86,72.23,Medium,4.038,2.26,0.558,405.03,0.73,-2527.86
Conversions,Facebook,Feed,Mobile,Android,Text,True,Fear,31,18-24,Male,Shoppers,$100K-$200K,Medium,True,2024-08-22,14,32,6,0.71,18641,288,4,204.48,1067.5,71.32,Low,1.545,0.71,1.389,51.12,5.22,863.02
Brand Awareness,Instagram,Display Network,Desktop,macOS,Image,True,Joy,37,35-44,All,Business Professionals,$50K-$100K,Low,True,2025-06-05,3,4,7,2.6,66409,2043,18,5311.8,2789.9,48.6,Medium,3.076,2.6,0.881,295.1,0.53,-2521.9
Conversions,TikTok,Search,Desktop,Android,Image,True,Neutral,65,35-44,Female,Business Professionals,$50K-$100K,Medium,False,2025-02-05,22,25,5,0.73,14279,125,5,91.25,1414.6,51.74,Medium,0.875,0.73,4.0,18.25,15.5,1323.35
Lead Generation,Google Ads,Search,Mobile,macOS,Image,False,Urgency,80,35-44,All,Gamers,<$50K,Low,False,2024-12-23,8,74,3,7.68,167870,2321,52,17825.28,5368.71,68.7,High,1.383,7.68,2.24,342.79,0.3,-12456.57
Brand Awareness,Instagram,Feed,Mobile,Windows,Carousel,True,Fear,37,45-54,All,Business Professionals,<$50K,Low,False,2024-05-22,7,83,8,2.96,198997,6074,17,17979.04,3795.98,85.79,Medium,3.052,2.96,0.28,1057.59,0.21,-14183.06
Lead Generation,Twitter,Display Network,Desktop,Windows,Video,False,Urgency,68,55-64,Female,Health & Fitness,$50K-$100K,Medium,True,2025-08-04,19,90,3,2.46,11080,86,4,211.56,879.3,35.88,Medium,0.776,2.46,4.651,52.89,4.16,667.74
Brand Awareness,TikTok,Feed,Desktop,Windows,Carousel,True,Fear,80,45-54,Female,Gamers,$50K-$100K,Medium,True,2025-07-07,14,86,6,1.77,47136,667,13,1180.59,2972.8,41.0,Medium,1.415,1.77,1.949,90.81,2.52,1792.21
Lead Generation,Twitter,Search,Mobile,Android,Text,False,Curiosity,39,25-34,Male,Tech Enthusiasts,$100K-$200K,Low,False,2024-07-16,6,85,6,1.75,141854,1354,4,2369.5,1171.78,89.5,Medium,0.955,1.75,0.295,592.38,0.49,-1197.72
Brand Awareness,Facebook,Feed,Desktop,Windows,Image,True,Joy,9,18-24,Male,Tech Enthusiasts,$100K-$200K,Medium,False,2024-03-30,6,65,5,2.58,63370,1937,23,4997.46,8821.66,33.76,Low,3.057,2.58,1.187,217.28,1.77,3824.2
Conversions,Google Ads,Stories,Desktop,Android,Image,False,Urgency,63,25-34,Female,Business Professionals,$50K-$100K,Medium,False,2025-01-10,12,60,3,6.41,90386,686,19,4397.26,5749.91,48.29,Medium,0.759,6.41,2.77,231.43,1.31,1352.65
Brand Awareness,Facebook,In-Stream Video,Mobile,iOS,Text,True,Joy,80,65+,Female,Gamers,<$50K,High,False,2026-01-23,6,57,7,1.66,150178,935,14,1552.1,1776.39,20.67,Medium,0.623,1.66,1.497,110.86,1.14,224.29
Brand Awareness,Google Ads,Display Network,Mobile,Windows,Image,True,Neutral,14,65+,All,Health & Fitness,$100K-$200K,Low,False,2025-04-07,16,45,7,2.65,42039,623,3,1650.95,1432.45,79.15,Low,1.482,2.65,0.482,550.32,0.87,-218.5
Conversions,Google Ads,Search,Desktop,iOS,Image,True,Urgency,6,35-44,All,Business Professionals,$50K-$100K,Medium,False,2024-08-02,4,24,7,1.22,16048,456,23,556.32,5550.42,43.67,Medium,2.841,1.22,5.044,24.19,9.98,4994.1
Brand Awareness,LinkedIn,Feed,Mobile,Android,Image,True,Curiosity,16,35-44,All,Tech Enthusiasts,$50K-$100K,Low,False,2024-03-20,4,57,7,8.59,13415,255,0,2190.45,0.0,78.07,Low,1.901,8.59,0.0,0.0,0.0,-2190.45
Brand Awareness,TikTok,Feed,Desktop,Windows,Interactive,True,Neutral,18,25-34,All,Tech Enthusiasts,>$200K,Medium,False,2024-06-17,1,54,5,0.81,158187,5707,79,4622.67,24338.77,43.67,High,3.608,0.81,1.384,58.51,5.27,19716.1
Engagement,Google Ads,Sidebar,Mobile,Android,Image,False,Trust,79,45-54,Male,Shoppers,>$200K,Medium,False,2025-09-22,20,16,5,7.93,213533,1336,19,10594.48,12030.18,45.24,High,0.626,7.93,1.422,557.6,1.14,1435.7
Brand Awareness,LinkedIn,Display Network,Mobile,iOS,Text,False,Curiosity,29,45-54,Male,Gamers,$100K-$200K,Medium,False,2025-01-09,3,48,4,13.74,36881,199,0,2734.26,0.0,67.35,Medium,0.54,13.74,0.0,0.0,0.0,-2734.26
Brand Awareness,LinkedIn,Search,Desktop,Windows,Video,False,Neutral,44,18-24,Female,Shoppers,$50K-$100K,Low,False,2026-01-29,22,60,8,7.91,218619,6321,105,49999.11,31257.77,59.29,High,2.891,7.91,1.661,476.18,0.63,-18741.34
Brand Awareness,Google Ads,Feed,Mobile,Other,Story,False,Neutral,75,35-44,Male,Shoppers,$100K-$200K,Medium,False,2025-09-14,22,80,3,6.73,146247,1260,5,8479.8,868.46,62.72,High,0.862,6.73,0.397,1695.96,0.1,-7611.34
Engagement,Facebook,Display Network,Tablet,Android,Image,True,Fear,72,25-34,Male,Shoppers,<$50K,Medium,True,2025-03-04,18,71,5,2.18,380264,2660,25,5798.8,3118.18,50.08,High,0.7,2.18,0.94,231.95,0.54,-2680.62
Conversions,LinkedIn,Search,Desktop,Windows,Image,True,Trust,43,55-64,Male,Business Professionals,$100K-$200K,Medium,True,2025-10-16,15,3,4,5.92,6225,202,18,1195.84,2794.41,61.96,Medium,3.245,5.92,8.911,66.44,2.34,1598.57
Lead Generation,TikTok,Feed,Mobile,iOS,Image,True,Joy,11,45-54,All,Tech Enthusiasts,$100K-$200K,Low,False,2025-08-05,8,81,6,1.64,255965,2415,10,3960.6,3498.12,69.01,Medium,0.943,1.64,0.414,396.06,0.88,-462.48
Conversions,Google Ads,Feed,Desktop,Android,Video,True,Urgency,43,55-64,All,Shoppers,$50K-$100K,Medium,False,2025-05-12,1,38,5,2.3,78082,1500,81,3450.0,26371.16,66.23,High,1.921,2.3,5.4,42.59,7.64,22921.16
Lead Generation,Twitter,Stories,Tablet,iOS,Text,False,Urgency,54,35-44,Male,Tech Enthusiasts,$50K-$100K,High,False,2024-07-14,19,42,5,2.57,106848,942,26,2420.94,7124.0,11.39,Low,0.882,2.57,2.76,93.11,2.94,4703.06
Brand Awareness,Twitter,Feed,Mobile,iOS,Interactive,True,Urgency,73,45-54,Female,Students,>$200K,Medium,False,2024-12-26,20,82,4,1.2,55975,1833,13,2199.6,3597.28,62.88,Medium,3.275,1.2,0.709,169.2,1.64,1397.68
Engagement,LinkedIn,Feed,Mobile,iOS,Video,False,Urgency,39,35-44,Female,Tech Enthusiasts,$50K-$100K,Low,False,2025-09-04,13,45,6,5.65,53869,1312,8,7412.8,2715.96,69.59,Medium,2.436,5.65,0.61,926.6,0.37,-4696.84
App Installs,Facebook,Feed,Desktop,Android,Video,True,Urgency,89,18-24,Male,Business Professionals,<$50K,Medium,False,2024-02-01,9,39,4,2.89,26674,607,18,1754.23,2639.03,48.96,Low,2.276,2.89,2.965,97.46,1.5,884.8
Engagement,Facebook,Display Network,Mobile,Android,Image,True,Urgency,51,45-54,Female,Students,<$50K,Low,False,2025-10-26,10,76,7,2.36,38169,1607,28,3792.52,7409.94,66.22,Medium,4.21,2.36,1.742,135.45,1.95,3617.42
Brand Awareness,Twitter,Stories,Mobile,Android,Carousel,False,Urgency,3,18-24,Male,Health & Fitness,$50K-$100K,High,False,2025-08-11,15,17,7,0.86,144396,5342,44,4594.12,7710.25,32.4,Medium,3.7,0.86,0.824,104.41,1.68,3116.13
Brand Awareness,Google Ads,Stories,Desktop,Android,Video,True,Curiosity,12,45-54,Female,Tech Enthusiasts,<$50K,Medium,False,2024-01-20,13,9,6,3.79,5358,263,20,996.77,1907.82,14.03,Low,4.909,3.79,7.605,49.84,1.91,911.05
Conversions,Instagram,Stories,Mobile,iOS,Video,True,Neutral,74,45-54,Female,Shoppers,$100K-$200K,Low,False,2024-10-08,19,29,5,4.3,22362,835,29,3590.5,11280.72,73.46,Low,3.734,4.3,3.473,123.81,3.14,7690.22
App Installs,Twitter,Stories,Mobile,Windows,Video,True,Urgency,28,35-44,All,Students,<$50K,Medium,False,2025-07-31,2,5,7,1.44,159571,5036,28,7251.84,7173.85,37.05,Medium,3.156,1.44,0.556,258.99,0.99,-77.99
Lead Generation,Google Ads,Display Network,Desktop,Windows,Image,True,Fear,82,35-44,All,Gamers,$50K-$100K,Low,True,2024-04-03,9,38,6,8.08,29363,434,21,3506.72,7053.66,66.74,Low,1.478,8.08,4.839,166.99,2.01,3546.94
Conversions,Facebook,Stories,Mobile,macOS,Image,True,Fear,85,25-34,Female,Tech Enthusiasts,$50K-$100K,High,True,2026-01-16,15,53,6,1.28,38710,444,58,568.32,10995.87,22.44,Low,1.147,1.28,13.063,9.8,19.35,10427.55
Lead Generation,Google Ads,Display Network,Mobile,iOS,Image,True,Trust,37,45-54,Female,Tech Enthusiasts,$50K-$100K,Low,True,2025-10-03,4,83,9,2.45,9188,503,23,1232.35,2869.43,73.63,Low,5.475,2.45,4.573,53.58,2.33,1637.08
Conversions,Google Ads,Feed,Desktop,Other,Video,False,Joy,7,35-44,Male,Business Professionals,$50K-$100K,Low,False,2024-02-26,22,79,4,3.18,111828,1572,43,4998.96,7509.06,59.62,Low,1.406,3.18,2.735,116.25,1.5,2510.1
Lead Generation,Twitter,Search,Mobile,Android,Carousel,False,Urgency,88,45-54,All,Health & Fitness,$100K-$200K,Low,True,2025-05-08,19,28,6,1.22,9574,105,1,128.1,207.95,73.77,Medium,1.097,1.22,0.952,128.1,1.62,79.85
Lead Generation,Twitter,In-Stream Video,Desktop,Android,Interactive,False,Curiosity,20,45-54,Female,Gamers,$100K-$200K,High,True,2025-01-21,13,42,4,2.21,23294,377,31,833.17,8712.96,19.95,Medium,1.618,2.21,8.223,26.88,10.46,7879.79
Lead Generation,TikTok,Search,Mobile,Windows,Carousel,True,Joy,40,25-34,Male,Health & Fitness,>$200K,High,False,2025-12-09,2,77,6,2.27,80321,2202,101,4998.54,34254.92,30.54,Low,2.741,2.27,4.587,49.49,6.85,29256.38
Brand Awareness,Instagram,Display Network,Desktop,iOS,Image,True,Fear,21,35-44,Female,Gamers,$100K-$200K,Low,True,2024-12-02,8,2,6,2.55,52939,1960,50,4998.0,14032.22,72.29,Low,3.702,2.55,2.551,99.96,2.81,9034.22
Lead Generation,Facebook,Search,Mobile,Android,Carousel,True,Curiosity,38,55-64,Female,Students,$100K-$200K,Medium,False,2025-03-09,4,61,6,2.35,15062,364,5,855.4,1723.63,56.88,Low,2.417,2.35,1.374,171.08,2.01,868.23
Conversions,Google Ads,Search,Mobile,Windows,Image,False,Curiosity,53,25-34,Male,Business Professionals,>$200K,Medium,False,2024-05-05,2,63,5,4.21,53278,756,20,3182.76,7487.91,57.41,Medium,1.419,4.21,2.646,159.14,2.35,4305.15
Brand Awareness,Facebook,Display Network,Mobile,iOS,Video,False,Joy,85,35-44,All,Gamers,$100K-$200K,Medium,False,2025-02-11,15,42,3,2.1,5865,43,0,90.3,0.0,61.32,Low,0.733,2.1,0.0,0.0,0.0,-90.3
